-10.8239	0.0000	-2.0074	12.83	-0.00	12.83	0.03	0.07	1.00	0.72	0.25	93.62	
-11.7038	0.0000	-1.7928	13.50	-0.00	13.50	0.03	0.07	1.00	0.78	0.24	94.81	
-12.4459	0.0000	-1.5083	13.95	-0.00	13.95	0.03	0.06	1.00	0.83	0.24	94.84	
-13.0499	0.0000	-1.2304	14.28	-0.00	14.28	0.03	0.06	1.00	0.87	0.23	94.35	
-13.6184	0.0000	-1.1557	14.77	-0.00	14.77	0.03	0.05	0.99	0.91	0.22	94.37	
-14.1987	0.0000	-1.1820	15.38	-0.00	15.38	0.03	0.05	1.00	0.95	0.21	93.95	
-14.7559	0.0000	-1.1326	15.89	-0.00	15.89	0.03	0.05	1.00	0.98	0.20	93.97	
-15.3142	0.0000	-1.1373	16.45	-0.00	16.45	0.03	0.04	0.99	1.02	0.20	93.99	
-15.8552	0.0000	-1.0996	16.95	-0.00	16.95	0.03	0.04	0.99	1.06	0.20	94.36	
-16.4443	0.0000	-1.2002	17.64	-0.00	17.64	0.03	0.06	1.00	1.10	0.19	94.37	
-16.9953	0.0000	-1.1197	18.12	-0.00	18.12	0.02	0.04	1.00	1.13	0.19	94.42	
-17.5434	0.0000	-1.1167	18.66	-0.00	18.66	0.03	0.05	1.00	1.17	0.18	94.43	
-18.0790	0.0000	-1.0885	19.17	-0.00	19.17	0.03	0.05	0.99	1.21	0.18	94.09	
-18.6067	0.0000	-1.0752	19.68	-0.00	19.68	0.03	0.06	1.00	1.24	0.17	94.11	
-19.1276	0.0000	-1.0586	20.19	-0.00	20.19	0.03	0.05	0.99	1.28	0.16	93.84	
-19.7401	0.0000	-1.2480	20.99	-0.00	20.99	0.03	0.03	1.00	1.32	0.16	93.85	
-20.5005	0.0000	-1.5455	22.05	-0.00	22.05	0.04	0.02	1.00	1.37	0.16	92.63	
-21.4192	0.0000	-1.8706	23.29	-0.00	23.29	0.03	0.03	0.99	1.43	0.16	92.64	
-22.4615	0.0000	-2.1192	24.58	-0.00	24.58	0.02	0.04	0.99	1.50	0.16	91.80	
-23.5327	0.0000	-2.1826	25.72	-0.00	25.72	0.03	0.05	0.99	1.57	0.15	91.81	
