P,I,D
  9.3204, -8.9925,  1.3462
 10.8105, -8.7943,  4.1387
 11.2609, -8.5873,  1.2542
 12.7618, -8.3529,  4.1783
 13.9904, -8.0961,  3.4169
 15.2484, -7.8156,  3.5060
 18.0465, -7.4841,  7.7870
 21.1566, -7.0947,  8.6730
 23.5978, -6.6620,  6.7825
 25.3357, -6.1955,  4.8481
 26.6837, -5.7059,  3.7476
 26.9722, -5.2095,  0.8046
 26.5830, -4.7196, -1.0868
 24.1309, -4.2783, -6.7940
 21.2543, -3.8885, -7.9922
 18.4731, -3.5483, -7.7611
 15.5683, -3.2626, -8.0760
 13.4301, -3.0159, -5.9527
 11.1408, -2.8115, -6.3646
  9.2435, -2.6412, -5.2963
  7.8876, -2.4962, -3.7761
  6.3732, -2.3789, -4.2232
  5.6585, -2.2748, -1.9923
  3.9256, -2.2027, -4.8196
  2.0635, -2.1649, -5.1751
  0.0000, -2.1649, -5.7409
  0.0000, -2.1649,  0.0000
  0.0000, -2.1649,  0.0000
  0.0000, -2.1649,  0.0000
  0.0000, -2.1649,  0.0000
 -1.8123, -2.1982, -5.0573
 -5.6899, -2.3020,-10.7110
 -9.8800, -2.4831,-11.6373
-13.5149, -2.7314,-10.1195
-16.4017, -3.0327, -8.0341
-17.8439, -3.3610, -4.0204
-17.0951, -3.6749,  2.0831
-16.4530, -3.9774,  1.7889
-15.2651, -4.2578,  3.3060
-13.6693, -4.5104,  4.4682
-12.8763, -4.7460,  2.1985
-11.2711, -4.9536,  4.4795
-10.9796, -5.1549,  0.8096
-11.2115, -5.3620, -0.6491
-11.2966, -5.5691, -0.2364
-12.3686, -5.7969, -2.9924
-12.7574, -6.0301, -1.0771
-13.5317, -6.2788, -2.1555
-14.5064, -6.5444, -2.7043
-14.8434, -6.8179, -0.9408
-15.1021, -7.0968, -0.7240
-15.5267, -7.3821, -1.1820
-15.0665, -7.6569,  1.2720
-14.5032, -7.9248,  1.5761
-13.6917, -8.1757,  2.2533
-12.4531, -8.4047,  3.4516
-11.1084, -8.6095,  3.7550
-10.1233, -8.7952,  2.7388
 -9.2864, -8.9654,  2.3244
 -8.6734, -9.1248,  1.7067
 -8.1047, -9.2736,  1.5817
 -7.7162, -9.4155,  1.0828
 -7.8178, -9.5592, -0.2826
 -7.3936, -9.6966,  1.1941
 -7.3450, -9.8301,  0.1339
 -6.6893, -9.9537,  1.8355
 -6.2553,-10.0680,  1.2016
 -5.5980,-10.1712,  1.8348
 -4.8605,-10.2605,  2.0539
 -3.9143,-10.3324,  2.6325
 -2.4189,-10.3768,  4.1602
 -1.0194,-10.3956,  3.9095
  0.0000,-10.3956,  2.8235
  0.0000,-10.3956,  0.0000
  0.0000,-10.3956,  0.0000
  0.0000,-10.3956,  0.0000
  0.0000,-10.3956,  0.0000
  0.0000,-10.3956,  0.0000
  0.0000,-10.3956,  0.0000
  0.0000,-10.3956,  0.0000
  0.0000,-10.3956,  0.0000
  0.0000,-10.3956,  0.0000
  0.0000,-10.3956,  0.0000
  0.0000,-10.3956,  0.0000
  0.0000,-10.3956,  0.0000
  0.0000,-10.3956,  0.0000
  0.0000,-10.3956,  0.0000
  0.0000,-10.3956,  0.0000
  0.6820,-10.3831,  1.8994
  1.4817,-10.3559,  2.2201
  2.1214,-10.3170,  1.7775
  2.9447,-10.2630,  2.2889
  3.5524,-10.1979,  1.6876
  4.4245,-10.1164,  2.4321
  5.3781,-10.0177,  2.6530
  6.3890, -9.8997,  2.8277
  7.3917, -9.7645,  2.7802
  8.0743, -9.6155,  1.9080
  9.1554, -9.4479,  2.9984
 10.0280, -9.2633,  2.4336
 11.8325, -9.0457,  5.0286
 12.6671, -8.8133,  2.3205
 14.5992, -8.5451,  5.3771
 16.9946, -8.2324,  6.6775
 20.2629, -7.8605,  9.0898
 22.5723, -7.4453,  6.4358
 25.2967, -6.9810,  7.5767
 27.1291, -6.4817,  5.1100
 28.2267, -5.9643,  3.0487
 27.7390, -5.4535, -1.3607
 26.2472, -4.9721, -4.1460
 23.8629, -4.5333, -6.6424
 21.5434, -4.1384, -6.4419
 19.3557, -3.7819, -6.1049
 16.7846, -3.4729, -7.1724
 15.4638, -3.1893, -3.6708
 14.5495, -2.9224, -2.5411
 14.9073, -2.6468,  1.0022
 15.5445, -2.3623,  1.7666
 15.5390, -2.0764, -0.0153
 16.2412, -1.7755,  1.9714
 14.6418, -1.5082, -4.4240
 13.3191, -1.2641, -3.6723
 12.1986, -1.0396, -3.1247
 10.4376, -0.8480, -4.8975
  8.8415, -0.6852, -4.4540
  7.4685, -0.5479, -3.8224
  5.5725, -0.4453, -5.2929
  4.4336, -0.3639, -3.1673
  3.5335, -0.2988, -2.5143
  1.5976, -0.2695, -5.3676
  0.0000, -0.2695, -4.4432
  0.0000, -0.2695,  0.0000
  0.0000, -0.2695,  0.0000
  0.0000, -0.2695,  0.0000
  0.0000, -0.2695,  0.0000
  0.0000, -0.2695,  0.0000
 -0.4983, -0.2787, -1.3896
 -2.3649, -0.3220, -5.1771
 -4.4777, -0.4044, -5.8899
 -6.7734, -0.5288, -6.3913
 -9.2799, -0.6994, -6.9828
-11.5013, -0.9103, -6.1715
-12.4595, -1.1396, -2.6714
-12.6307, -1.3710, -0.4752
-12.5287, -1.6021,  0.2849
-11.2974, -1.8098,  3.4303
-10.0388, -1.9936,  3.4908
 -8.1691, -2.1436,  5.2015
 -6.2729, -2.2590,  5.2881
 -5.7562, -2.3646,  1.4351
 -4.5085, -2.4476,  3.4830
 -3.9519, -2.5201,  1.5469
 -4.3072, -2.5994, -0.9905
 -4.0577, -2.6741,  0.6966
 -4.3879, -2.7547, -0.9193
 -3.6398, -2.8218,  2.0870
 -2.5648, -2.8685,  2.9714
 -2.1725, -2.9085,  1.0943
 -0.3332, -2.9147,  5.1258
  0.0000, -2.9147,  0.9289
  0.0000, -2.9147,  0.0000
  0.0000, -2.9147,  0.0000
  0.0000, -2.9147,  0.0000
  0.0000, -2.9147,  0.0000
  0.0000, -2.9147,  0.0000
  0.0000, -2.9147,  0.0000
  0.0000, -2.9147,  0.0000
  0.0000, -2.9147,  0.0000
  0.3736, -2.9078,  1.0441
  1.8202, -2.8745,  4.0025
  2.4279, -2.8300,  1.6902
  3.6919, -2.7623,  3.5128
  4.7203, -2.6753,  2.8689
  6.0538, -2.5643,  3.7048
  7.8777, -2.4190,  5.0985
  9.3807, -2.2472,  4.1700
 11.5605, -2.0347,  6.0727
 13.9525, -1.7781,  6.6636
 16.5422, -1.4743,  7.2072
 19.2903, -1.1200,  7.6480
 21.4757, -0.7248,  6.0923
 23.6267, -0.2895,  6.0046
 24.0775,  0.1532,  1.2560
 23.5007,  0.5842, -1.6032
 22.7804,  1.0047, -2.0140
 21.3422,  1.3939, -3.9741
 18.7746,  1.7390, -7.1507
 18.0772,  2.0713, -1.9428
 16.8436,  2.3806, -3.4319
 16.5899,  2.6850, -0.7054
 17.1460,  3.0026,  1.5609
 15.7599,  3.2902, -3.8327
 15.6007,  3.5774, -0.4439
 14.7133,  3.8488, -2.4806
 13.2459,  4.0910, -4.0644
 12.1614,  4.3143, -3.0170
 11.0170,  4.5171, -3.1925
  8.8337,  4.6790, -6.0618
  8.3366,  4.8325, -1.3868
  7.3750,  4.9680, -2.6769
  5.9656,  5.0777, -3.9279
  5.9641,  5.1873, -0.0041
  4.9672,  5.2795, -2.8034
  4.1392,  5.3548, -2.2825
  3.4580,  5.4185, -1.9010
  2.3288,  5.4612, -3.1340
  1.0338,  5.4802, -3.6140
  0.0000,  5.4802, -2.8663
  0.0000,  5.4802,  0.0000
  0.0000,  5.4802,  0.0000
  0.0000,  5.4802,  0.0000
  0.0000,  5.4802,  0.0000
  0.0000,  5.4802,  0.0000
  0.0000,  5.4802,  0.0000
  0.0000,  5.4802,  0.0000
  0.0000,  5.4802,  0.0000
  0.0000,  5.4802,  0.0000
  0.0000,  5.4802,  0.0000
  0.0000,  5.4802,  0.0000
  0.0000,  5.4802,  0.0000
  0.0000,  5.4802,  0.0000
  0.0000,  5.4802,  0.0000
 -0.3259,  5.4742, -0.9070
 -1.4739,  5.4474, -3.1636
 -2.5804,  5.4001, -3.0742
 -3.5084,  5.3357, -2.5807
 -4.6545,  5.2500, -3.1961
 -5.8181,  5.1434, -3.2331
 -7.1218,  5.0124, -3.6331
 -8.7208,  4.8525, -4.4409
-10.2677,  4.6633, -4.3182
-12.1284,  4.4406, -5.1765
-14.6926,  4.1706, -7.1412
-17.5976,  3.8479, -8.0708
-20.4341,  3.4717, -7.9128
-22.6908,  3.0552, -6.2763
-24.3827,  2.6070, -4.7116
-24.6192,  2.1554, -0.6573
-23.3127,  1.7235,  3.6679
-20.9305,  1.3412,  6.5916
-17.9281,  1.0111,  8.3756
-14.8336,  0.7387,  8.6118
-12.1572,  0.5141,  7.4915
 -9.5602,  0.3387,  7.2177
 -7.2510,  0.2053,  6.4396
 -5.7954,  0.0988,  4.0496
 -4.9993,  0.0067,  2.2231
 -4.7201, -0.0799,  0.7758
 -4.9917, -0.1721, -0.7605
 -5.2141, -0.2672, -0.6143
 -5.3011, -0.3646, -0.2423
 -4.3124, -0.4438,  2.7524
 -3.3256, -0.5050,  2.7491
 -2.1882, -0.5451,  3.1559
  0.0000, -0.5451,  6.1020
  0.0000, -0.5451,  0.0000
  0.0000, -0.5451,  0.0000
