P,I,D
24.9829,  7.3636, -2.7284
 22.9514,  7.6756, -4.1834
 20.6402,  7.9552, -4.7439
 18.9271,  8.2135, -3.5425
 18.2905,  8.4621, -1.3109
 15.9371,  8.6782, -4.8344
 13.9724,  8.8687, -4.0592
 11.8858,  9.0297, -4.2828
  8.7461,  9.1491, -6.4923
  6.9489,  9.2435, -3.7009
  5.2172,  9.3144, -3.5648
  3.3893,  9.3605, -3.7657
  1.0477,  9.3747, -4.8222
  0.0000,  9.3747, -2.1548
  0.0000,  9.3747,  0.0000
 -1.1847,  9.3586, -2.4437
 -2.7412,  9.3219, -3.1619
 -5.2941,  9.2501, -5.2420
 -7.5959,  9.1468, -4.7420
 -9.3726,  9.0194, -3.6588
-10.2367,  8.8802, -1.7802
-12.9509,  8.7037, -5.6056
-15.1455,  8.4983, -4.5100
-16.6803,  8.2710, -3.1684
-19.1197,  8.0112, -5.0236
-21.6061,  7.7183, -5.1055
-25.3525,  7.3745, -7.6992
-29.2894,  6.9751, -8.1341
-33.5408,  6.5196, -8.7477
-37.3535,  6.0111, -7.8645
-40.9954,  5.4541, -7.4968
-44.1950,  4.8514, -6.6109
-46.5802,  4.2204, -4.8957
-48.0521,  3.5668, -3.0336
-48.9544,  2.9033, -1.8527
-49.6204,  2.2270, -1.3756
-49.2925,  1.5554,  0.6770
-47.8609,  0.8979,  2.9797
-46.3126,  0.2747,  3.1569
-43.9992, -0.3273,  4.7955
-42.3303, -0.9012,  3.4282
-41.1015, -1.4598,  2.5306
-38.7846, -1.9839,  4.7436
-36.6876, -2.4842,  4.3327
-34.7703, -2.9553,  3.9352
-33.7013, -3.4148,  2.2087
-32.7257, -3.8581,  2.0025
-32.3500, -4.2982,  0.7743
-32.4687, -4.7426, -0.2461
-31.8681, -5.1784,  1.2444
-31.5186, -5.6015,  0.7108
-31.1109, -6.0301,  0.8510
-28.8465, -6.4208,  4.6477
-28.2496, -6.8021,  1.2208
-27.1488, -7.1705,  2.2631
-24.9495, -7.5117,  4.5570
-23.3189, -7.8256,  3.3261
-22.2858, -8.1295,  2.1345
-20.6559, -8.4103,  3.3564
-19.2093, -8.6729,  2.9963
-17.5154, -8.9097,  3.4710
-15.2560, -9.1180,  4.6720
-13.6433, -9.3026,  3.3073
-12.7679, -9.4768,  1.8095
-11.2933, -9.6299,  3.0279
-10.3668, -9.7709,  1.9096
 -9.0213, -9.8930,  2.7593
 -7.8763,-10.0009,  2.3764
 -7.0015,-10.0956,  1.7934
 -5.8657,-10.1759,  2.3564
 -4.3188,-10.2342,  3.1632
 -2.0884,-10.2627,  4.6120
 -1.3778,-10.2813,  1.4537
 -0.0163,-10.2815,  2.8338
  0.0000,-10.2815,  0.0337
  0.0000,-10.2815,  0.0000
  1.0848,-10.2671,  2.1907
  2.9373,-10.2275,  3.7804
  3.8998,-10.1745,  1.9821
  5.2463,-10.1032,  2.7729
  7.0168,-10.0079,  3.6444
  7.6212, -9.9042,  1.2462
  8.5787, -9.7876,  1.9719
 10.2902, -9.6477,  3.5245
 11.9596, -9.4851,  3.4393
 13.3796, -9.3032,  2.9254
 15.1074, -9.0978,  3.5582
 16.8287, -8.8691,  3.5446
 18.8721, -8.6126,  4.2080
 21.0194, -8.3267,  4.4256
 22.9099, -8.0145,  3.9028
 24.7010, -7.6794,  3.6825
 26.8069, -7.3152,  4.3348
 29.7931, -6.9099,  6.1547
 32.5046, -6.4676,  5.5909
 34.6065, -5.9976,  4.3248
 37.3833, -5.4893,  5.7208
 39.6981, -4.9493,  4.7708
 41.1023, -4.3911,  2.8892
 41.3987, -3.8280,  0.6110
 40.6133, -3.2694, -1.6368
 39.5625, -2.7383, -2.1371
 38.0366, -2.2209, -3.1450
 36.1895, -1.7284, -3.8084
 33.8665, -1.2689, -4.7760
 32.2225, -0.8308, -3.3868
 30.0688, -0.4180, -4.4791
 27.9717, -0.0388, -4.3077
 25.9161,  0.3156, -4.2593
 23.4390,  0.6321, -5.0676
 21.3143,  0.9231, -4.3953
 18.9210,  1.1786, -4.8960
 16.6908,  1.4039, -4.5626
 14.0408,  1.5955, -5.4796
 10.9956,  1.7449, -6.2685
  8.8091,  1.8643, -4.4898
  7.1624,  1.9621, -3.4051
  4.9787,  2.0297, -4.4932
  2.8590,  2.0686, -4.3759
  0.7027,  2.0781, -4.4221
  0.0000,  2.0781, -1.4573
  0.0000,  2.0781,  0.0000
 -0.7875,  2.0674, -1.6210
 -3.2056,  2.0243, -4.9306
 -6.3430,  1.9386, -6.4210
 -8.7228,  1.8201, -4.8987
-10.7998,  1.6727, -4.2949
-13.9611,  1.4824, -6.5288
-17.2017,  1.2498, -6.6405
-19.4189,  0.9860, -4.5639
-21.4489,  0.6916, -4.2218
-24.8099,  0.3532, -6.9443
-28.0608, -0.0259, -6.6561
-31.2631, -0.4535, -6.6352
-35.1314, -0.9284, -7.9235
-38.5469, -1.4534, -7.0481
-40.9263, -2.0048, -4.8576
-43.4879, -2.5959, -5.2754
-45.5279, -3.2150, -4.2027
-45.9782, -3.8427, -0.9314
-45.8721, -4.4718,  0.2204
-44.7664, -5.0805,  2.2779
-42.7197, -5.6554,  4.1732
-40.8480, -6.2117,  3.8624
-38.8065, -6.7383,  4.1971
-37.6183, -7.2496,  2.4470
-37.0260, -7.7512,  1.2157
-35.9292, -8.2415,  2.2680
-35.1315, -8.7192,  1.6434
-36.2214, -9.2113, -2.2436
-37.1599, -9.7155, -1.9294
-37.4711,-10.2244, -0.6405
-38.6990,-10.7558, -2.5545
-38.6957,-11.2781,  0.0066
-37.3341,-11.7938,  2.8502
-36.8118,-12.2843,  1.0544
-36.1824,-12.7765,  1.2971
-35.2133,-13.2553,  1.9965
-33.7452,-13.7137,  3.0221
-32.7923,-14.1613,  1.9705
-32.5798,-14.6052,  0.4386
-31.2781,-15.0334,  2.7005
-31.1925,-15.4521,  0.1741
-30.7631,-15.8740,  0.8924
-29.5348,-16.2774,  2.5419
-29.3632,-16.6723,  0.3495
-28.5340,-17.0638,  1.7237
-26.8730,-17.4258,  3.3910
-26.4867,-17.7867,  0.7975
-25.6597,-18.1381,  1.7157
-24.4834,-18.4678,  2.4005
-22.7770,-18.7774,  3.5140
-21.4788,-19.0702,  2.6811
-19.6001,-19.3357,  3.8562
-17.8146,-19.5781,  3.6814
-16.1463,-19.7976,  3.4356
-14.2358,-19.9915,  3.9441
-11.4720,-20.1473,  5.6845
 -9.6854,-20.2789,  3.6791
 -8.1515,-20.3896,  3.1576
 -6.8171,-20.4827,  2.7603
 -5.9246,-20.5626,  1.8237
 -4.8278,-20.6284,  2.2661
 -3.6054,-20.6775,  2.5173
 -3.4768,-20.7246,  0.2642
 -2.6687,-20.7612,  1.6805
 -2.5525,-20.7957,  0.2380
 -1.5198,-20.8165,  2.1467
 -1.3925,-20.8352,  0.2588
 -0.7969,-20.8462,  1.2427
 -0.0946,-20.8475,  1.4428
 -0.0954,-20.8488, -0.0016
 -0.1022,-20.8502, -0.0141
