P,I,D
  0.0000,-20.8502,  0.2117
  0.0885,-20.8490,  0.1842
  0.3505,-20.8443,  0.5345
  1.1282,-20.8291,  1.5858
  2.7099,-20.7922,  3.2639
  4.0618,-20.7373,  2.7692
  5.2837,-20.6652,  2.5246
  7.1145,-20.5687,  3.7609
  9.0456,-20.4459,  3.9749
  9.2370,-20.3202,  0.3946
 10.4834,-20.1763,  2.5920
 10.6769,-20.0326,  0.3947
 11.6035,-19.8734,  1.9264
 12.2294,-19.7086,  1.2777
 12.9543,-19.5322,  1.4958
 14.0477,-19.3416,  2.2472
 14.0634,-19.1504,  0.0323
 14.8320,-18.9456,  1.6083
 15.8337,-18.7334,  2.0338
 15.7270,-18.5208, -0.2185
 15.7860,-18.3027,  0.1235
 16.0659,-18.0850,  0.5745
 15.8583,-17.8694, -0.4277
 15.7213,-17.6563, -0.2813
 16.1488,-17.4354,  0.8858
 16.1525,-17.2163,  0.0075
 16.2609,-16.9939,  0.2247
 16.5775,-16.7699,  0.6481
 16.8604,-16.5408,  0.5825
 17.4195,-16.3039,  1.1518
 17.5130,-16.0684,  0.1905
 17.5405,-15.8275,  0.0572
 18.3879,-15.5758,  1.7573
 19.4352,-15.3159,  2.1222
 20.5350,-15.0368,  2.2649
 20.9366,-14.7517,  0.8287
 21.3814,-14.4586,  0.9238
 22.9187,-14.1469,  3.1673
 24.8153,-13.8128,  3.8687
 25.6934,-13.4638,  1.8074
 26.3293,-13.1056,  1.3106
 26.8257,-12.7401,  1.0250
 27.5407,-12.3667,  1.4687
 27.7574,-11.9893,  0.4464
 27.3314,-11.6143, -0.8854
 26.7451,-11.2502, -1.2094
 25.2248,-10.9109, -3.0986
 25.3664,-10.5663,  0.2914
 23.6241,-10.2419, -3.6248
 22.9626, -9.9327, -1.3493
 22.0332, -9.6331, -1.9149
 20.8619, -9.3491, -2.4160
 19.3973, -9.0858, -3.0123
 17.9932, -8.8412, -2.8927
 15.8645, -8.6255, -4.3836
 13.4884, -8.4427, -4.8810
 12.0204, -8.2789, -3.0306
  9.5903, -8.1485, -5.0044
  7.2797, -8.0499, -4.7445
  5.1665, -7.9796, -4.3553
  2.5834, -7.9445, -5.3173
  0.1576, -7.9424, -5.0139
  0.0000, -7.9424, -0.3250
 -2.7710, -7.9806, -5.7909
 -5.5095, -8.0538, -5.5118
 -7.8693, -8.1608, -4.8616
-11.3549, -8.3156, -7.2017
-15.6429, -8.5283, -8.8339
-18.7730, -8.7833, -6.4433
-20.0310, -9.0549, -2.5841
-21.6282, -9.3491, -3.2920
-25.1062, -9.6916, -7.1887
-26.9065,-10.0572, -3.7060
-27.4400,-10.4301, -1.0986
-28.5619,-10.8170, -2.3027
-31.2415,-11.2420, -5.5227
-32.3816,-11.6836, -2.3557
-31.5236,-12.1120,  1.7670
-32.3537,-12.5516, -1.7087
-33.8964,-13.0110, -3.1678
-34.5090,-13.4817, -1.2662
-34.2911,-13.9478,  0.4486
-35.1794,-14.4309, -1.8481
-37.6080,-14.9355, -4.9374
-37.9394,-15.4526, -0.6845
-37.9134,-15.9734,  0.0541
-38.9559,-16.5036, -2.1495
-39.9268,-17.0402, -1.9771
-39.9174,-17.5814,  0.0194
-40.4450,-18.1404, -1.1050
-42.0506,-18.7058, -3.2709
-41.9889,-19.2753,  0.1266
-41.6713,-19.8457,  0.6586
-41.5731,-20.4123,  0.2028
-41.6669,-20.9800, -0.1936
-41.3865,-21.5393,  0.5742
-41.8471,-22.1088, -0.9498
-41.1076,-22.6689,  1.5268
-41.3188,-23.2251, -0.4309
-41.9604,-23.7994, -1.3304
-43.3341,-24.3843, -2.8091
-44.8072,-24.9950, -3.0425
-46.2161,-25.6204, -2.8882
-49.2090,-26.2895, -6.1659
-50.3337,-26.9755, -2.3228
-52.1056,-27.6843, -3.6517
-54.1372,-28.4174, -4.1683
-55.8221,-29.1789, -3.4827
-56.4007,-29.9439, -1.1890
-55.4279,-30.6973,  2.0033
-55.0705,-31.4479,  0.7380
-55.3335,-32.2071, -0.5466
-53.2645,-32.9301,  4.2554
-50.9140,-33.6170,  4.8047
-48.9041,-34.2798,  4.1270
-46.1527,-34.9091,  5.6846
-42.0700,-35.4809,  8.4076
-38.8998,-36.0114,  6.5500
-36.3993,-36.5047,  5.1345
-35.1933,-36.9828,  2.4824
-33.3338,-37.4360,  3.8310
-31.4125,-37.8635,  3.9613
-28.3533,-38.2498,  6.3155
-26.7958,-38.6130,  3.1980
-25.6247,-38.9604,  2.4059
-24.2107,-39.2907,  2.9225
-23.3523,-39.6079,  1.7671
-22.4570,-39.9139,  1.8482
-21.4623,-40.2050,  2.0443
-18.4477,-40.4568,  6.2337
-16.5552,-40.6812,  3.8860
-15.4478,-40.8915,  2.2852
-14.5224,-41.0879,  1.8955
-13.3390,-41.2692,  2.4380
-11.5331,-41.4270,  3.7434
-10.4844,-41.5691,  2.1526
 -9.8902,-41.7034,  1.2231
 -8.8141,-41.8229,  2.2105
 -6.2945,-41.9088,  5.2079
 -5.1295,-41.9785,  2.3980
 -5.5434,-42.0539, -0.8526
 -3.3176,-42.0994,  4.6326
 -0.2232,-42.1024,  6.3094
  0.0000,-42.1024,  0.4627
  0.0000,-42.1024,  0.0000
  0.0000,-42.1024,  0.0000
  0.0068,-42.1023,  0.0140
  0.0000,-42.1023, -0.0138
  1.3762,-42.0831,  2.9087
  2.9612,-42.0442,  3.1552
  4.3431,-41.9848,  2.8646
  3.9577,-41.9316, -0.7859
  4.0107,-41.8763,  0.1105
  6.2198,-41.7918,  4.5511
  8.1217,-41.6821,  3.8909
  8.0303,-41.5736, -0.1870
  9.3735,-41.4442,  2.8082
 10.0775,-41.3086,  1.4353
 10.0741,-41.1712, -0.0069
 10.7007,-41.0241,  1.3052
 11.1796,-40.8738,  0.9756
  9.3036,-40.7467, -3.8822
 10.2672,-40.6078,  1.9754
 11.0652,-40.4580,  1.6365
 11.5654,-40.3000,  1.0356
 12.8582,-40.1261,  2.6482
 13.7028,-39.9391,  1.7465
 14.4784,-39.7432,  1.5904
 14.7115,-39.5419,  0.4833
 16.0576,-39.3227,  2.7834
 17.7325,-39.0833,  3.4266
 18.5330,-38.8322,  1.6437
 21.2383,-38.5427,  5.5870
 21.1908,-38.2555, -0.0975
 22.1403,-37.9487,  1.9931
 22.4430,-37.6495,  0.6117
 23.6650,-37.3235,  2.5506
 23.6996,-37.0055,  0.0704
 24.3355,-36.6682,  1.3354
 25.3065,-36.3310,  1.9602
 24.6778,-35.9945, -1.2989
 24.7684,-35.6587,  0.1861
 25.0245,-35.3141,  0.5343
 24.8654,-34.9772, -0.3267
 24.8101,-34.6388, -0.1144
 24.4330,-34.3082, -0.7730
 24.9903,-33.9670,  1.1528
 24.3478,-33.6400, -1.3074
 24.6913,-33.3036,  0.7093
 25.2241,-32.9581,  1.1057
 24.9206,-32.6227, -0.6187
 24.8603,-32.2810, -0.1258
 25.3989,-31.9350,  1.1115
 25.3827,-31.5944, -0.0329
 24.6457,-31.2530, -1.5470
 24.1153,-30.9318, -1.0702
 24.0695,-30.6031, -0.0948
 23.2849,-30.2836, -1.6311
 23.0647,-29.9731, -0.4491
 23.3576,-29.6537,  0.6068
 22.9652,-29.3404, -0.8110
 22.2834,-29.0373, -1.4052
 21.6778,-28.7466, -1.2301
 21.0141,-28.4616, -1.3640
 20.6047,-28.1806, -0.8459
 20.6828,-27.8963,  0.1625
 20.7889,-27.6135,  0.2188
 20.0270,-27.3429, -1.5600
 19.8242,-27.0743, -0.4163
 20.2307,-26.7975,  0.8428
 20.2129,-26.5218, -0.0368
 20.3239,-26.2445,  0.2294
 20.1304,-25.9720, -0.3970
 19.9107,-25.7030, -0.4496
 19.8468,-25.4313, -0.1326
 19.9274,-25.1612,  0.1655
 19.6982,-24.8927, -0.4734
 19.8392,-24.6238,  0.2896
 19.8378,-24.3533, -0.0029
 19.5697,-24.0872, -0.5524
 20.2748,-23.8119,  1.4508
 19.8913,-23.5448, -0.7803
 20.0698,-23.2686,  0.3722
 20.2313,-22.9940,  0.3321
 20.3284,-22.7169,  0.2006
 20.3684,-22.4408,  0.0823
 20.0409,-22.1650, -0.6831
 21.1152,-21.8815,  2.1850
 20.3449,-21.6078, -1.5707
 19.9496,-21.3375, -0.8113
 19.9675,-21.0632,  0.0373
 20.1104,-20.7872,  0.2972
 21.0265,-20.5023,  1.8802
 21.6486,-20.2117,  1.2655
 21.4737,-19.9189, -0.3615
 22.3571,-19.6132,  1.8305
 22.7273,-19.3058,  0.7584
 23.7139,-18.9816,  2.0435
 25.0311,-18.6431,  2.6992
 26.3263,-18.2868,  2.6562
 27.3876,-17.9133,  2.1927
 29.2226,-17.5173,  3.7681
 31.0480,-17.0939,  3.7715
 32.7284,-16.6503,  3.4505
 34.2059,-16.1837,  3.0539
 35.8550,-15.6978,  3.3863
 37.1289,-15.1917,  2.6309
 38.1839,-14.6740,  2.1671
 38.3836,-14.1504,  0.4129
 37.9512,-13.6314, -0.8960
 37.0874,-13.1244, -1.7891
 35.4157,-12.6502, -3.3916
 32.7596,-12.2034, -5.4877
 29.5567,-11.8042, -6.5552
 26.9178,-11.4372, -5.4521
 24.5930,-11.1018, -4.8034
 22.1653,-10.8003, -5.0035
 20.1679,-10.5281, -4.0845
 17.4646,-10.2897, -5.5898
 15.5148,-10.0788, -4.0169
 13.8899, -9.8895, -3.3558
 11.8402, -9.7287, -4.2158
  9.5638, -9.5990, -4.6802
  7.9427, -9.4911, -3.3356
  5.8287, -9.4115, -4.3730
  3.5995, -9.3626, -4.5889
  0.6941, -9.3532, -5.9709
  0.0000, -9.3532, -1.4299
 -0.8447, -9.3648, -1.7559
 -4.3828, -9.4240, -7.2381
 -7.5232, -9.5255, -6.4220
-11.1555, -9.6770, -7.4738
-15.0070, -9.8814, -7.9479
-18.7530,-10.1366, -7.7237
-21.9414,-10.4346, -6.5606
-24.7574,-10.7720, -5.8156
-26.8207,-11.1368, -4.2527
-27.9227,-11.5140, -2.2554
-27.6215,-11.8917,  0.6243
-27.0383,-12.2617,  1.2088
-26.7414,-12.6220,  0.6060
-25.4171,-12.9706,  2.7518
-24.3484,-13.2996,  2.1883
-23.5965,-13.6194,  1.5438
-22.7113,-13.9289,  1.8282
-22.5065,-14.2331,  0.4195
-22.9889,-14.5495, -1.0062
-23.3590,-14.8631, -0.7527
-22.9777,-15.1795,  0.7956
-23.9310,-15.5037, -1.9568
-24.6258,-15.8363, -1.4219
-24.2481,-16.1651,  0.7759
-23.9388,-16.4954,  0.6465
-24.0902,-16.8220, -0.3109
-23.7770,-17.1472,  0.6490
-23.3034,-17.4621,  0.9697
-23.4813,-17.7815, -0.3667
-22.7829,-18.0913,  1.4388
-21.2968,-18.3789,  3.0415
-19.3163,-18.6414,  4.0769
-17.2538,-18.8759,  4.2474
-15.0240,-19.0795,  4.5785
-12.5011,-19.2501,  5.2169
-10.8525,-19.3971,  3.3839
 -9.2473,-19.5232,  3.3152
 -7.4576,-19.6243,  3.6778
 -5.6243,-19.7011,  3.7910
 -4.5780,-19.7630,  2.1449
 -3.4938,-19.8106,  2.2391
 -2.9661,-19.8507,  1.0808
 -1.5119,-19.8714,  3.0119
  0.0000,-19.8714,  3.1045
  0.0000,-19.8714,  0.0000
  0.0000,-19.8714,  0.0000
  0.1716,-19.8690,  0.3548
  1.6673,-19.8466,  3.0473
  2.9477,-19.8065,  2.6378
  4.4883,-19.7458,  3.1608
  5.8954,-19.6653,  2.9097
  7.5382,-19.5632,  3.3719
  9.6926,-19.4310,  4.4529
 10.8038,-19.2846,  2.2819
 11.7575,-19.1249,  1.9623
 13.7791,-18.9374,  4.1665
 16.1702,-18.7169,  4.9402
 19.8400,-18.4473,  7.5572
 22.8898,-18.1358,  6.2884
 25.0793,-17.7958,  4.4977
 28.5214,-17.4073,  7.1029
 31.2803,-16.9815,  5.6908
 34.2118,-16.5169,  6.0321
 36.2200,-16.0262,  4.1218
 39.5113,-15.4872,  6.8031
 43.2906,-14.9037,  7.7186
 47.5553,-14.2517,  8.8584
 51.6248,-13.5518,  8.3596
 54.7845,-12.8050,  6.5257
 57.0323,-12.0321,  4.6156
 60.2579,-11.2108,  6.6616
 62.9894,-10.3557,  5.6181
 64.3214, -9.4793,  2.7498
 65.0934, -8.5979,  1.5840
 65.4423, -7.7051,  0.7211
 65.2124, -6.8126, -0.4768
 64.3128, -5.9356, -1.8588
 62.0263, -5.1030, -4.6504
 60.0275, -4.2848, -4.1281
 58.9119, -3.4864, -2.2906
 56.9897, -2.7092, -3.9716
 56.1394, -1.9453, -1.7532
 55.4783, -1.1916, -1.3607
 53.0607, -0.4707, -4.9767
 50.9972,  0.2247, -4.2632
 50.8331,  0.9171, -0.3386
 50.2006,  1.6013, -1.3064
 49.0319,  2.2614, -2.3838
 48.1503,  2.9178, -1.8208
 46.7860,  3.5521, -2.8026
 45.7383,  4.1758, -2.1645
 44.2611,  4.7756, -3.0333
 42.8976,  5.3601, -2.8147
 41.7637,  5.9263, -2.3295
 41.2882,  6.4896, -0.9827
 41.9506,  7.0640,  1.3742
 40.8094,  7.6145, -2.3328
 39.8064,  8.1542, -2.0604
 38.9343,  8.6865, -1.8064
 37.8475,  9.1979, -2.2250
 38.1925,  9.7211,  0.7160
 37.2556, 10.2287, -1.9341
 35.2961, 10.7062, -4.0170
 33.1757, 11.1553, -4.3485
 31.2591, 11.5814, -3.9584
 28.0395, 11.9601, -6.5893
 25.3042, 12.3070, -5.6815
 23.1056, 12.6185, -4.4904
 21.6069, 12.9142, -3.1078
 19.3949, 13.1768, -4.5385
 18.0459, 13.4234, -2.7927
 16.9281, 13.6526, -2.2934
 16.4175, 13.8763, -1.0543
 15.0914, 14.0808, -2.7230
 14.0519, 14.2732, -2.1564
 12.7249, 14.4450, -2.7136
 12.2513, 14.6120, -0.9781
 11.2285, 14.7655, -2.1194
  9.3589, 14.8920, -3.8294
  7.5591, 14.9945, -3.6973
  6.8179, 15.0875, -1.5313
  4.7353, 15.1516, -4.2748
  3.7735, 15.2031, -1.9887
  4.3375, 15.2619,  1.1566
  1.6124, 15.2838, -5.6163
  0.5334, 15.2910, -2.2167
  0.0000, 15.2910, -1.1065
  0.0000, 15.2910,  0.0000
 -0.5209, 15.2839, -1.0748
 -1.6423, 15.2619, -2.2809
 -2.4251, 15.2290, -1.6074
 -3.9340, 15.1754, -3.1175
 -3.7891, 15.1239,  0.2984
 -3.6302, 15.0742,  0.3293
 -4.9500, 15.0069, -2.7188
 -4.8203, 14.9420,  0.2646
 -4.3576, 14.8820,  0.9642
 -5.7356, 14.8041, -2.8353
 -6.3641, 14.7184, -1.2832
 -6.8068, 14.6261, -0.9093
 -7.5313, 14.5228, -1.5062
 -8.8248, 14.4042, -2.6330
 -9.7477, 14.2710, -1.9106
-10.0686, 14.1346, -0.6591
-11.4890, 13.9763, -2.9636
-12.3983, 13.8099, -1.8494
-12.7371, 13.6368, -0.6976
-13.8702, 13.4463, -2.3573
-14.5798, 13.2502, -1.4464
-16.0739, 13.0316, -3.0792
-17.4973, 12.7938, -2.9313
-18.1321, 12.5473, -1.3072
-19.5108, 12.2811, -2.8498
-21.3854, 11.9912, -3.8507
-22.7457, 11.6812, -2.8095
-24.5988, 11.3488, -3.7940
-26.5013, 10.9872, -3.9325
-28.3099, 10.6021, -3.7275
-29.7843, 10.1963, -3.0437
-31.1555,  9.7753, -2.8074
-32.3132,  9.3349, -2.3911
-31.3528,  8.9086,  1.9786
-29.3338,  8.5089,  4.1682
-27.0104,  8.1437,  4.7589
-24.5629,  7.8075,  5.0755
-21.4506,  7.5171,  6.3855
-18.9484,  7.2587,  5.1699
-17.0821,  7.0270,  3.8354
-14.2530,  6.8321,  5.8620
-12.4219,  6.6649,  3.7336
-11.0096,  6.5142,  2.9299
 -9.3444,  6.3877,  3.4151
 -7.8597,  6.2807,  3.0613
 -6.8268,  6.1883,  2.1201
 -4.9646,  6.1202,  3.8647
 -2.4786,  6.0867,  5.1007
 -0.1615,  6.0845,  4.7874
  0.0000,  6.0845,  0.3336
  1.8326,  6.1100,  3.8656
  5.8780,  6.1877,  8.1045
 10.1635,  6.3264,  8.8614
 15.4035,  6.5352, 10.7599
 21.3745,  6.8266, 12.3366
 26.1022,  7.1804,  9.7077
 30.1571,  7.5926,  8.3986
 33.0593,  8.0392,  5.9396
 34.6233,  8.5117,  3.2341
 34.7480,  8.9822,  0.2558
 34.7301,  9.4618, -0.0375
 34.6976,  9.9338, -0.0669
 34.6090, 10.4073, -0.1838
 33.7212, 10.8596, -1.8040
 33.8617, 11.3178,  0.2879
 34.9849, 11.7960,  2.3264
 36.2912, 12.2862,  2.6734
 37.5800, 12.7953,  2.6453
 38.7637, 13.3239,  2.4457
 39.5981, 13.8607,  1.7141
 40.7596, 14.4170,  2.4016
 41.0195, 14.9725,  0.5334
 41.4830, 15.5439,  0.9674
 42.1505, 16.1149,  1.3701
 41.7022, 16.6782, -0.9175
 41.4143, 17.2451, -0.5972
 40.9331, 17.8030, -0.9938
 39.9845, 18.3460, -1.9518
 39.4784, 18.8784, -1.0339
 39.0394, 19.4070, -0.9007
 38.8883, 19.9428, -0.3155
 40.1292, 20.4879,  2.5544
 40.0819, 21.0278, -0.0965
 39.5036, 21.5722, -1.2076
 39.8358, 22.1067,  0.6755
 39.0063, 22.6402, -1.7188
 38.0751, 23.1547, -1.9067
 37.5204, 23.6632, -1.1389
 36.6542, 24.1628, -1.7889
 36.0980, 24.6522, -1.1427
 34.5433, 25.1231, -3.2107
 33.9810, 25.5836, -1.1546
 33.1171, 26.0354, -1.7858
 30.4623, 26.4492, -5.4649
 29.7107, 26.8525, -1.5458
 28.7006, 27.2418, -2.0759
 28.4015, 27.6291, -0.6179
 28.2918, 28.0176, -0.2282
 27.8827, 28.3967, -0.8430
 27.6670, 28.7712, -0.4423
 26.4863, 29.1327, -2.4415
 26.6371, 29.4902,  0.3068
 25.3562, 29.8391, -2.6704
 26.5850, 30.1960,  2.4991
 25.0236, 30.5372, -3.2258
 23.2956, 30.8546, -3.5674
 23.3711, 31.1718,  0.1553
 22.0443, 31.4735, -2.7515
 20.7908, 31.7544, -2.5665
 21.4561, 32.0451,  1.3657
 19.8442, 32.3157, -3.3304
 17.8315, 32.5566, -4.1211
 16.4268, 32.7805, -2.8997
 15.2253, 32.9876, -2.4763
 15.2398, 33.1958,  0.0299
 16.7073, 33.4254,  3.0557
 15.7410, 33.6365, -1.9638
 14.8259, 33.8374, -1.8783
 13.3591, 34.0200, -3.0380
 12.6376, 34.1908, -1.4779
 12.3402, 34.3592, -0.6145
 13.5345, 34.5450,  2.4846
 12.3794, 34.7121, -2.3621
 11.3581, 34.8657, -2.0919
 10.7528, 35.0122, -1.2494
  8.6193, 35.1288, -4.3755
  8.5858, 35.2466, -0.0698
  7.4800, 35.3492, -2.2978
  7.1046, 35.4445, -0.7632
  6.8692, 35.5384, -0.4876
  5.1652, 35.6090, -3.5249
  3.3156, 35.6533, -3.7494
  2.4706, 35.6871, -1.7500
  2.1186, 35.7158, -0.7229
  0.4810, 35.7224, -3.4181
  0.3361, 35.7270, -0.2967
  0.0000, 35.7270, -0.6926
  0.0000, 35.7270,  0.0000
  0.0000, 35.7270,  0.0000
 -0.6456, 35.7182, -1.3345
 -2.1210, 35.6897, -3.0057
 -2.8236, 35.6514, -1.4422
 -2.8741, 35.6123, -0.1042
 -2.5328, 35.5775,  0.7099
 -3.4221, 35.5310, -1.8313
 -4.4522, 35.4713, -2.0935
 -4.8815, 35.4047, -0.8875
 -5.3508, 35.3310, -0.9789
 -5.3298, 35.2588,  0.0432
 -4.9443, 35.1910,  0.8006
 -6.5578, 35.1026, -3.2940
 -6.5540, 35.0143,  0.0079
 -5.5936, 34.9371,  2.0086
 -6.3272, 34.8523, -1.4897
 -7.1841, 34.7548, -1.7625
 -7.1040, 34.6582,  0.1651
 -7.2389, 34.5589, -0.2803
 -8.3313, 34.4459, -2.2441
 -8.7799, 34.3278, -0.9142
 -8.8340, 34.2057, -0.1133
-10.1305, 34.0689, -2.6534
 -9.4963, 33.9407,  1.2974
 -9.5214, 33.8112, -0.0518
 -9.5387, 33.6791, -0.0363
-10.2707, 33.5399, -1.5037
 -9.7930, 33.4088,  0.9685
 -9.7150, 33.2755,  0.1620
-10.5408, 33.1319, -1.7047
-10.5886, 32.9897, -0.0974
-10.7188, 32.8421, -0.2717
-10.0122, 32.7064,  1.4509
-11.2857, 32.5544, -2.5988
-11.3425, 32.4008, -0.1165
-11.2669, 32.2456,  0.1577
-11.1067, 32.0947,  0.3299
-11.1725, 31.9433, -0.1350
-10.6984, 31.7973,  0.9803
-11.3404, 31.6432, -1.3215
-10.2620, 31.5051,  2.1997
-10.0995, 31.3678,  0.3346
-10.2926, 31.2265, -0.4017
-10.9578, 31.0776, -1.3699
