P,I,D
 12.0128,-11.3452,  3.3079
 13.9776,-11.2456,  3.4988
 15.9222,-11.1326,  3.4510
 19.0669,-10.9968,  5.6018
 22.0655,-10.8396,  5.3378
 25.2814,-10.6601,  5.7092
 27.9801,-10.4615,  4.7895
 30.6546,-10.2432,  4.7608
 33.2406,-10.0070,  4.5941
 35.6844, -9.7529,  4.3503
 36.8727, -9.4911,  2.1096
 36.9790, -9.2277,  0.1893
 37.8010, -8.9577,  1.4677
 37.6838, -8.6906, -0.2077
 38.6290, -8.4149,  1.6867
 37.9708, -8.1456, -1.1674
 37.1715, -7.8820, -1.4170
 37.4085, -7.6155,  0.4220
 37.3609, -7.3482, -0.0851
 36.3063, -7.0886, -1.8850
 35.8559, -6.8366, -0.7914
 35.0802, -6.5856, -1.3873
 34.7658, -6.3403, -0.5548
 36.0961, -6.0815,  2.3841
 35.4994, -5.8310, -1.0528
 34.3088, -5.5860, -2.1251
 34.0528, -5.3447, -0.4536
 34.0270, -5.1013, -0.0462
 31.0062, -4.8797, -5.3956
 31.3280, -4.6591,  0.5665
 32.1430, -4.4290,  1.4586
 30.6008, -4.2128, -2.7248
 28.9709, -4.0070, -2.8935
 29.4617, -3.7973,  0.8737
 31.2704, -3.5739,  3.2295
 30.3712, -3.3589, -1.5913
 31.2176, -3.1371,  1.5030
 30.9058, -2.9167, -0.5560
 31.9061, -2.6893,  1.7825
 32.0891, -2.4618,  0.3243
 30.5186, -2.2439, -2.8031
 28.4952, -2.0422, -3.5813
 24.4969, -1.8682, -7.0982
 19.9338, -1.7266, -8.1035
 16.8883, -1.6067, -5.4048
 13.0421, -1.5133, -6.8885
  9.6803, -1.4450, -5.9338
  7.5436, -1.3911, -3.8164
  4.5311, -1.3590, -5.3318
  2.3113, -1.3425, -3.9649
  0.9395, -1.3358, -2.4344
  0.0000, -1.3358, -1.6742
  0.0000, -1.3358,  0.0000
  0.0000, -1.3358,  0.0000
  0.0000, -1.3358,  0.0000
  0.0000, -1.3358,  0.0000
 -2.0963, -1.3507, -3.7317
 -6.6314, -1.3975, -8.0047
-11.0931, -1.4761, -7.8993
-14.5495, -1.5802, -6.1820
-18.4571, -1.7110, -6.9231
-21.1744, -1.8618, -4.8370
-22.8700, -2.0246, -3.0185
-22.6753, -2.1857,  0.3459
-19.4233, -2.3245,  5.8066
-15.0785, -2.4313,  7.6951
-11.3753, -2.5121,  6.5742
 -8.5385, -2.5728,  5.0465
 -5.4238, -2.6114,  5.5351
 -1.8520, -2.6246,  6.3540
  0.0000, -2.6246,  3.2833
  0.0000, -2.6246,  0.0000
  0.0000, -2.6246,  0.0000
  0.0000, -2.6246,  0.0000
  0.0000, -2.6246,  0.0000
  0.0000, -2.6246,  0.0000
  0.0000, -2.6246,  0.0000
  0.0000, -2.6246,  0.0000
  0.0000, -2.6246,  0.0000
  1.2979, -2.6153,  2.3198
  1.3460, -2.6058,  0.0843
  2.0317, -2.5912,  1.2388
  3.7885, -2.5646,  3.0764
  5.4568, -2.5258,  2.9667
  8.9717, -2.4619,  6.2548
 11.0717, -2.3831,  3.7384
 12.9303, -2.2911,  3.3073
 17.2572, -2.1684,  7.6895
 19.8830, -2.0273,  4.6599
 22.6952, -1.8655,  5.0113
 28.1314, -1.6658,  9.6475
 32.7425, -1.4321,  8.2278
 38.2175, -1.1613,  9.6999
 43.8040, -0.8492,  9.9480
 47.3098, -0.5125,  6.2386
 49.8611, -0.1575,  4.5416
 51.1526,  0.2057,  2.2921
 49.5521,  0.5586, -2.8501
 48.0596,  0.8999, -2.6496
 45.1133,  1.2213, -5.2483
 43.2993,  1.5272, -3.2029
 42.3893,  1.8298, -1.6243
 39.3963,  2.1097, -5.3154
 38.1965,  2.3816, -2.1358
 37.1807,  2.6459, -1.8051
 37.5053,  2.9127,  0.5772
 40.0011,  3.1991,  4.4668
 38.5497,  3.4715, -2.5644
 38.4444,  3.7444, -0.1869
 36.6996,  4.0073, -3.1237
 36.3448,  4.2639, -0.6264
 33.9872,  4.5074, -4.2223
 32.0861,  4.7339, -3.3557
 29.8150,  4.9463, -4.0456
 28.7679,  5.1506, -1.8588
 26.9071,  5.3422, -3.3124
 27.0067,  5.5341,  0.1769
 25.8025,  5.7188, -2.1560
 25.7902,  5.9013, -0.0217
 22.5324,  6.0632, -5.8523
 21.2343,  6.2128, -2.2864
 19.8006,  6.3535, -2.5461
 18.2463,  6.4830, -2.7585
 16.5805,  6.6015, -2.9754
 15.4964,  6.7112, -1.9200
 13.5184,  6.8076, -3.5246
 13.0079,  6.8999, -0.9055
 11.0794,  6.9790, -3.4422
  8.6236,  7.0399, -4.3406
  5.8460,  7.0816, -4.9528
  4.3595,  7.1125, -2.6327
  3.2237,  7.1355, -2.0281
  2.0575,  7.1502, -2.0696
  2.1640,  7.1656,  0.1897
  1.8380,  7.1787, -0.5817
  1.7993,  7.1915, -0.0690
  1.7744,  7.2042, -0.0443
  1.9509,  7.2181,  0.3146
  1.7413,  7.2304, -0.3697
  0.9982,  7.2375, -1.3222
  0.6866,  7.2423, -0.5530
  0.1945,  7.2437, -0.8724
  0.0000,  7.2437, -0.3460
  0.0000,  7.2437,  0.0000
  0.0000,  7.2437,  0.0000
  0.0000,  7.2437,  0.0000
  0.0000,  7.2437,  0.0000
  0.0000,  7.2437,  0.0000
  0.0000,  7.2437,  0.0000
  0.0000,  7.2437,  0.0000
  0.0000,  7.2437,  0.0000
  0.0000,  7.2437,  0.0000
  0.1730,  7.2450,  0.3074
  0.6978,  7.2499,  0.9294
  1.1056,  7.2577,  0.7235
  1.2462,  7.2666,  0.2510
  1.7227,  7.2789,  0.8462
  2.3114,  7.2953,  1.0484
  2.9438,  7.3161,  1.1162
  3.4548,  7.3407,  0.9100
  3.3389,  7.3645, -0.2064
  4.0116,  7.3932,  1.2002
  4.4081,  7.4243,  0.7000
  4.8646,  7.4590,  0.8152
