Angle, P,I,D
  0.0000,  0.0000,-11.8722,  0.0000
  0.0000,  0.0000,-11.8722,  0.0000
  0.0000,  0.0000,-11.8722,  0.0000
 -0.1249,  0.6122,-11.8590,  2.0003
 -0.1486,  0.7279,-11.8431,  0.3838
 -0.2127,  1.0421,-11.8205,  1.0297
 -0.2386,  1.1693,-11.7952,  0.4173
 -0.2099,  1.0284,-11.7730, -0.4616
 -0.3350,  1.6417,-11.7375,  2.0075
 -0.3496,  1.7129,-11.7004,  0.2334
 -0.3358,  1.6453,-11.6649, -0.2210
 -0.2677,  1.3119,-11.6364, -1.0960
 -0.2116,  1.0368,-11.6141, -0.8986
 -0.1279,  0.6269,-11.6005, -1.3484
 -0.1578,  0.7734,-11.5838,  0.4793
 -0.2964,  1.4522,-11.5524,  2.2248
 -0.4801,  2.3526,-11.5016,  2.9448
 -0.5045,  2.4719,-11.4480,  0.3920
 -0.7559,  3.7037,-11.3679,  4.0346
 -0.8478,  4.1540,-11.2780,  1.4769
 -0.8419,  4.1254,-11.1890, -0.0936
 -0.8544,  4.1868,-11.0980,  0.2020
 -0.8229,  4.0321,-11.0110, -0.5059
 -0.8121,  3.9792,-10.9249, -0.1734
 -0.7702,  3.7741,-10.8435, -0.6699
 -0.7896,  3.8690,-10.7595,  0.3126
 -0.7919,  3.8801,-10.6758,  0.0362
 -0.8036,  3.9374,-10.5902,  0.1888
 -0.8866,  4.3445,-10.4966,  1.3294
 -0.9728,  4.7669,-10.3934,  1.3862
 -1.0884,  5.3331,-10.2783,  1.8508
 -1.1169,  5.4726,-10.1608,  0.4540
 -1.1216,  5.4957,-10.0407,  0.0766
 -1.0755,  5.2700, -9.9263, -0.7428
 -1.0379,  5.0857, -9.8166, -0.6025
 -0.9846,  4.8245, -9.7123, -0.8553
 -0.9905,  4.8533, -9.6077,  0.0941
 -1.0017,  4.9083, -9.5010,  0.1811
 -0.9957,  4.8792, -9.3957, -0.0952
 -1.0118,  4.9577, -9.2881,  0.2583
 -1.0288,  5.0410, -9.1796,  0.2716
 -1.1416,  5.5936, -9.0582,  1.8181
 -1.2301,  6.0274, -8.9300,  1.3974
 -1.2534,  6.1417, -8.7969,  0.3753
 -1.2819,  6.2815, -8.6593,  0.4639
 -1.2442,  6.0966, -8.5270, -0.6077
 -1.2372,  6.0620, -8.3964, -0.1130
 -1.1863,  5.8126, -8.2702, -0.8205
 -1.1228,  5.5018, -8.1515, -1.0160
 -1.1362,  5.5675, -8.0327,  0.2125
 -1.0443,  5.1170, -7.9203, -1.4985
 -1.0647,  5.2168, -7.8091,  0.3223
 -1.0713,  5.2491, -7.6942,  0.1072
 -1.0754,  5.2692, -7.5796,  0.0662
 -1.0706,  5.2459, -7.4665, -0.0762
 -1.0070,  4.9345, -7.3595, -1.0230
 -0.9913,  4.8573, -7.2563, -0.2483
 -0.9699,  4.7526, -7.1522, -0.3479
 -0.9678,  4.7423, -7.0498, -0.0335
 -0.9846,  4.8247, -6.9448,  0.2716
 -1.0052,  4.9254, -6.8389,  0.3279
 -1.0965,  5.3728, -6.7222,  1.4729
 -1.0738,  5.2616, -6.6103, -0.3584
 -1.1464,  5.6174, -6.4867,  1.1861
 -1.1623,  5.6953, -6.3656,  0.2507
 -1.2933,  6.3374, -6.2262,  2.1400
 -1.5346,  7.5195, -6.0663,  3.8081
 -1.5217,  7.4561, -5.9043, -0.2087
 -1.5638,  7.6628, -5.7369,  0.6839
 -1.9559,  9.5840, -5.5291,  6.3125
 -2.3574, 11.5515, -5.2834,  6.3422
 -3.0195, 14.7955, -4.9617, 10.6854
 -3.6550, 17.9096, -4.5753, 10.1813
 -4.1354, 20.2634, -4.1361,  7.7291
 -4.5164, 22.1301, -3.6587,  6.1011
 -4.3564, 21.3465, -3.1970, -2.5683
 -3.9187, 19.2017, -2.7826, -7.0125
 -3.2114, 15.7360, -2.4414,-11.3871
 -2.7992, 13.7159, -2.1450, -6.6149
 -2.3438, 11.4848, -1.8967, -7.3081
 -1.8112,  8.8747, -1.7050, -8.5414
 -1.4942,  7.3214, -1.5460, -5.1116
 -1.0275,  5.0349, -1.4374, -7.4685
 -0.7030,  3.4448, -1.3628, -5.2197
 -0.3281,  1.6076, -1.3277, -6.0871
 -0.0071,  0.0350, -1.3269, -5.1624
  0.0000,  0.0000, -1.3269, -0.1144
  0.3608, -1.7677, -1.3656, -5.8604
  0.7231, -3.5432, -1.4413, -5.7522
  1.3488, -6.6090, -1.5845,-10.0609
  1.6779, -8.2219, -1.7595, -5.2006
  1.9572, -9.5902, -1.9676, -4.5001
  2.3907,-11.7144, -2.2204, -6.9449
  2.5301,-12.3974, -2.4892, -2.2441
  2.8199,-13.8176, -2.7874, -4.6433
  2.8662,-14.0446, -3.0920, -0.7457
  2.9941,-14.6712, -3.4131, -2.0782
  3.0643,-15.0151, -3.7339, -1.1134
  2.9850,-14.6265, -4.0496,  1.2703
  3.0410,-14.9007, -4.3727, -0.9007
  2.9772,-14.5881, -4.6921,  1.0369
  2.9298,-14.3562, -4.9990,  0.7510
  2.8614,-14.0210, -5.3064,  1.1139
  2.7234,-13.3445, -5.5909,  2.1853
  2.5348,-12.4205, -5.8590,  3.0211
  2.4079,-11.7985, -6.1150,  2.0448
  2.3751,-11.6378, -6.3663,  0.5259
  2.2296,-10.9250, -6.6060,  2.3704
  2.1972,-10.7663, -6.8352,  0.5120
  2.0566,-10.0775, -7.0570,  2.2961
  1.9572, -9.5903, -7.2608,  1.5690
  1.9390, -9.5011, -7.4668,  0.2932
  1.7849, -8.7458, -7.6584,  2.5061
  1.7936, -8.7887, -7.8461, -0.1387
  1.7146, -8.4014, -8.0300,  1.2839
  1.5521, -7.6051, -8.1925,  2.5793
  1.4744, -7.2245, -8.3483,  1.2435
  1.2143, -5.9503, -8.4774,  4.1867
  1.0830, -5.3069, -8.5919,  2.1046
  0.9758, -4.7816, -8.6956,  1.7260
  0.7203, -3.5296, -8.7728,  4.1456
  0.6071, -2.9746, -8.8372,  1.8220
  0.3888, -1.9053, -8.8783,  3.4958
  0.2382, -1.1671, -8.9037,  2.4278
  0.0317, -0.1554, -8.9070,  3.3047
  0.0000,  0.0000, -8.9070,  0.5111
  0.0000,  0.0000, -8.9070,  0.0000
  0.0000,  0.0000, -8.9070,  0.0000
 -0.0792,  0.3882, -8.8986,  1.2748
 -0.1805,  0.8845, -8.8793,  1.6427
 -0.3307,  1.6203, -8.8443,  2.4094
 -0.4335,  2.1241, -8.7983,  1.6507
 -0.6347,  3.1100, -8.7311,  3.2305
 -0.8389,  4.1106, -8.6424,  3.2712
 -0.9407,  4.6095, -8.5425,  1.6373
 -1.1293,  5.5333, -8.4230,  3.0242
 -1.2905,  6.3234, -8.2877,  2.5620
 -1.4595,  7.1515, -8.1334,  2.7059
 -1.7561,  8.6048, -7.9467,  4.7780
 -2.0816, 10.1997, -7.7266,  5.2142
 -2.4035, 11.7771, -7.4723,  5.1603
 -2.8312, 13.8731, -7.1718,  6.8805
 -3.1822, 15.5930, -6.8337,  5.6494
 -3.5325, 17.3093, -6.4592,  5.6270
 -3.7891, 18.5666, -6.0576,  4.1210
 -4.1189, 20.1825, -5.6222,  5.2813
 -4.3000, 21.0702, -5.1657,  2.9142
 -4.3659, 21.3929, -4.7035,  1.0563
 -4.4165, 21.6407, -4.2344,  0.8140
 -4.3619, 21.3733, -3.7663, -0.8874
 -4.3270, 21.2021, -3.3066, -0.5623
 -4.2527, 20.8383, -2.8557, -1.1929
 -4.1719, 20.4423, -2.4202, -1.2780
 -4.1055, 20.1171, -1.9860, -1.0637
 -4.0236, 19.7158, -1.5586, -1.3181
 -3.9408, 19.3097, -1.1421, -1.3272
 -3.9303, 19.2583, -0.7246, -0.1690
 -3.7198, 18.2268, -0.3264, -3.4142
 -3.5159, 17.2277,  0.0471, -3.2819
 -3.2603, 15.9753,  0.3934, -4.1139
 -3.0701, 15.0433,  0.7181, -3.0480
 -2.8819, 14.1212,  1.0229, -3.0147
 -2.5428, 12.4596,  1.2900, -5.3983
 -2.3069, 11.3037,  1.5338, -3.7770
 -2.1471, 10.5206,  1.7618, -2.5712
 -1.8853,  9.2378,  1.9614, -4.2008
 -1.7525,  8.5873,  2.1474, -2.1345
 -1.4976,  7.3380,  2.3057, -4.0831
 -1.3093,  6.4157,  2.4452, -3.0381
 -1.0662,  5.2243,  2.5576, -3.8854
 -1.0000,  4.9001,  2.6639, -1.0654
 -0.8773,  4.2987,  2.7569, -1.9706
 -0.6562,  3.2155,  2.8273, -3.5933
 -0.3814,  1.8686,  2.8676, -4.4009
 -0.0675,  0.3307,  2.8748, -5.0577
  0.0000,  0.0000,  2.8748, -1.0817
  0.0000,  0.0000,  2.8748,  0.0000
  0.2437, -1.1941,  2.8490, -3.9101
  0.6746, -3.3053,  2.7770, -6.9627
  0.9120, -4.4687,  2.6800, -3.8285
  1.3100, -6.4189,  2.5415, -6.3740
  1.6436, -8.0535,  2.3690, -5.3042
  1.9223, -9.4194,  2.1658, -4.4640
  2.3742,-11.6334,  1.9135, -7.2768
  2.6309,-12.8914,  1.6354, -4.1116
  2.8587,-14.0078,  1.3316, -3.6684
  3.1004,-15.1919,  1.0038, -3.8712
  3.3549,-16.4390,  0.6468, -4.1039
  3.5894,-17.5881,  0.2630, -3.7993
  3.7322,-18.2876, -0.1333, -2.2968
  3.8903,-19.0624, -0.5457, -2.5393
  3.8344,-18.7884, -0.9515,  0.8966
  3.7079,-18.1686, -1.3439,  2.0282
  3.4220,-16.7676, -1.7031,  4.5477
  3.0960,-15.1706, -2.0308,  5.2259
  2.9481,-14.4458, -2.3443,  2.3836
  2.6789,-13.1266, -2.6277,  4.3145
  2.3767,-11.6459, -2.8797,  4.8559
  2.1686,-10.6263, -3.1089,  3.3314
  1.8202, -8.9192, -3.3023,  5.6091
  1.5696, -7.6909, -3.4683,  4.0157
  1.2499, -6.1245, -3.6011,  5.1485
  0.9792, -4.7981, -3.7046,  4.3352
  0.5748, -2.8163, -3.7665,  6.5925
  0.2537, -1.2433, -3.7933,  5.1474
  0.0045, -0.0220, -3.7938,  4.0091
  0.0000,  0.0000, -3.7938,  0.0721
 -0.0420,  0.2057, -3.7893,  0.6819
 -0.3589,  1.7585, -3.7516,  5.0435
 -0.6936,  3.3989, -3.6781,  5.3714
 -0.8635,  4.2312, -3.5869,  2.7195
 -1.2366,  6.0592, -3.4555,  6.0062
 -1.6202,  7.9391, -3.2863,  6.0714
 -2.0745, 10.1652, -3.0659,  7.3121
 -2.6057, 12.7681, -2.7904,  8.5097
 -2.9645, 14.5259, -2.4742,  5.7973
 -3.3705, 16.5154, -2.1194,  6.4761
 -3.5992, 17.6363, -1.7368,  3.6839
 -3.5938, 17.6097, -1.3561, -0.0870
 -3.4805, 17.0542, -0.9807, -1.8529
 -3.4772, 17.0382, -0.6150, -0.0521
 -3.5412, 17.3517, -0.2375,  1.0333
 -3.5129, 17.2130,  0.1325, -0.4517
 -3.4503, 16.9062,  0.4995, -1.0090
 -3.4737, 17.0212,  0.8673,  0.3765
 -3.3049, 16.1942,  1.2175, -2.7096
 -3.1242, 15.3086,  1.5438, -2.8602
 -3.0235, 14.8153,  1.8653, -1.6220
 -2.7929, 13.6852,  2.1605, -3.6933
 -2.6022, 12.7506,  2.4376, -3.0765
 -2.3145, 11.3411,  2.6818, -4.5998
 -2.0183,  9.8898,  2.8963, -4.7683
 -2.0026,  9.8126,  3.1080, -0.2523
 -1.8655,  9.1411,  3.3091, -2.2395
 -1.8182,  8.9091,  3.4984, -0.7466
 -1.7302,  8.4782,  3.6850, -1.4374
 -1.5115,  7.4063,  3.8424, -3.4508
 -1.3222,  6.4787,  3.9830, -3.0497
 -1.1658,  5.7122,  4.1062, -2.5051
 -1.0273,  5.0338,  4.2154, -2.2290
 -0.8746,  4.2854,  4.3079, -2.4477
 -0.7750,  3.7975,  4.3912, -1.6226
 -0.6677,  3.2716,  4.4617, -1.7178
 -0.5934,  2.9075,  4.5247, -1.1951
 -0.4530,  2.2195,  4.5727, -2.2512
 -0.2036,  0.9975,  4.5943, -4.0139
 -0.0830,  0.4067,  4.6031, -1.9329
  0.0000,  0.0000,  4.6031, -1.3372
  0.0000,  0.0000,  4.6031,  0.0000
  0.0000,  0.0000,  4.6031,  0.0000
  0.0000,  0.0000,  4.6031,  0.0000
  0.0754, -0.3694,  4.5951, -1.2125
  0.2028, -0.9936,  4.5733, -2.0713
  0.3796, -1.8599,  4.5332, -2.8315
  0.5653, -2.7699,  4.4734, -2.9769
  0.7705, -3.7756,  4.3916, -3.3025
  0.8776, -4.3005,  4.2987, -1.7165
  1.0989, -5.3845,  4.1821, -3.5585
  1.4393, -7.0526,  4.0318, -5.3855
  1.5868, -7.7752,  3.8631, -2.3752
  1.8856, -9.2392,  3.6639, -4.7833
  2.5248,-12.3718,  3.3954,-10.3022
  3.0609,-14.9985,  3.0717, -8.5877
  3.5578,-17.4330,  2.6927, -8.0191
  4.0149,-19.6728,  2.2686, -7.3158
  4.0859,-20.0209,  1.8354, -1.1414
  3.9850,-19.5264,  1.4142,  1.6163
  3.5848,-17.5654,  1.0327,  6.4533
  3.0499,-14.9446,  0.7098,  8.5792
  2.4302,-11.9082,  0.4491, 10.0727
  2.0162, -9.8795,  0.2359,  6.6328
  1.7182, -8.4192,  0.0533,  4.7980
  1.2874, -6.3085, -0.0831,  6.9181
  1.0147, -4.9721, -0.1909,  4.3883
  0.6633, -3.2501, -0.2609,  5.6228
  0.3106, -1.5220, -0.2939,  5.6746
  0.0414, -0.2029, -0.2983,  4.3125
  0.0000,  0.0000, -0.2983,  0.6683
  0.0000,  0.0000, -0.2983,  0.0000
 -0.2879,  1.4108, -0.2677,  4.6382
 -0.5082,  2.4903, -0.2136,  3.5526
 -0.7575,  3.7116, -0.1333,  4.0027
 -1.0788,  5.2863, -0.0193,  5.1468
 -1.2184,  5.9699,  0.1105,  2.2525
 -1.5516,  7.6026,  0.2742,  5.3245
 -1.7380,  8.5164,  0.4589,  3.0026
 -1.8260,  8.9472,  0.6519,  1.4078
 -1.8421,  9.0264,  0.8476,  0.2604
 -1.8199,  8.9173,  1.0402, -0.3569
 -2.0203,  9.8996,  1.2552,  3.2323
 -1.8620,  9.1236,  1.4491, -2.4990
 -1.9512,  9.5610,  1.6566,  1.4383
 -2.0865, 10.2236,  1.8771,  2.1656
 -2.0981, 10.2806,  2.1000,  0.1871
 -2.2821, 11.1825,  2.3449,  2.9919
 -2.2174, 10.8652,  2.5770, -1.0269
 -2.3149, 11.3429,  2.8218,  1.5623
 -2.2597, 11.0724,  3.0618, -0.8886
 -2.1908, 10.7349,  3.2967, -1.1188
 -2.1342, 10.4574,  3.5203, -0.8992
 -2.0119,  9.8583,  3.7360, -1.9862
 -1.9814,  9.7088,  3.9437, -0.4843
 -1.8814,  9.2189,  4.1458, -1.6274
 -1.7510,  8.5799,  4.3287, -2.0635
 -1.5977,  7.8289,  4.4976, -2.4545
 -1.3859,  6.7910,  4.6453, -3.4199
 -1.3200,  6.4678,  4.7844, -1.0538
 -1.2007,  5.8833,  4.9120, -1.9209
 -1.0703,  5.2443,  5.0255, -2.0944
 -0.9257,  4.5358,  5.1236, -2.3215
 -0.7373,  3.6127,  5.2025, -3.0565
 -0.4721,  2.3133,  5.2527, -4.2682
 -0.2750,  1.3473,  5.2817, -3.1572
 -0.2054,  1.0063,  5.3036, -1.1211
 -0.0945,  0.4632,  5.3136, -1.7752
 -0.0422,  0.2066,  5.3181, -0.8452
  0.0000,  0.0000,  5.3181, -0.6741
  0.0000,  0.0000,  5.3181,  0.0000
  0.0000,  0.0000,  5.3181,  0.0000
  0.0000,  0.0000,  5.3181,  0.0000
  0.0000,  0.0000,  5.3181,  0.0000
  0.0000,  0.0000,  5.3181,  0.0000
  0.0432, -0.2117,  5.3135, -0.6952
  0.1698, -0.8321,  5.2953, -2.0536
  0.2036, -0.9976,  5.2737, -0.5430
  0.2582, -1.2654,  5.2464, -0.8744
  0.4047, -1.9828,  5.2034, -2.3567
  0.5652, -2.7696,  5.1435, -2.5804
  0.7842, -3.8425,  5.0604, -3.5153
  0.9288, -4.5512,  4.9623, -2.3135
  1.0932, -5.3567,  4.8457, -2.6566
  1.4945, -7.3230,  4.6901, -6.3301
  1.8114, -8.8759,  4.4975, -5.1055
  2.1986,-10.7732,  4.2648, -6.2109
  2.7011,-13.2355,  3.9781, -8.0803
  3.1733,-15.5490,  3.6428, -7.5591
  3.6107,-17.6924,  3.2583, -7.0577
  3.8609,-18.9184,  2.8510, -3.9994
  3.9574,-19.3912,  2.4307, -1.5526
  3.8178,-18.7072,  2.0271,  2.2360
  3.4858,-17.0805,  1.6567,  5.3450
  3.0143,-14.7699,  1.3376,  7.5637
  2.7073,-13.2657,  1.0506,  4.9302
  2.2865,-11.2037,  0.8085,  6.7499
  1.8817, -9.2203,  0.6061,  6.5997
  1.5613, -7.6504,  0.4411,  5.1296
  1.2634, -6.1908,  0.3068,  4.7956
  1.0179, -4.9879,  0.1992,  3.9342
  0.8557, -4.1932,  0.1083,  2.6087
  0.8330, -4.0817,  0.0202,  0.3647
  0.7315, -3.5844, -0.0577,  1.6366
  0.5356, -2.6245, -0.1144,  3.1403
  0.2612, -1.2797, -0.1421,  4.4143
  0.0000,  0.0000, -0.1421,  4.1695
  0.0000,  0.0000, -0.1421,  0.0000
 -0.3056,  1.4975, -0.1098,  4.8852
 -0.7566,  3.7075, -0.0296,  7.2455
 -1.3555,  6.6418,  0.1148,  9.6653
 -1.7361,  8.5069,  0.2977,  6.0769
 -2.0346,  9.9696,  0.5140,  4.8089
 -2.6456, 12.9632,  0.7938,  9.7873
 -3.2527, 15.9384,  1.1400,  9.7939
 -3.7779, 18.5119,  1.5337,  8.2928
 -4.3193, 21.1646,  1.9927,  8.7161
 -4.8528, 23.7786,  2.5060,  8.5488
 -4.8877, 23.9497,  3.0242,  0.5611
 -4.9517, 24.2635,  3.5579,  1.0458
 -4.8220, 23.6276,  4.0614, -2.0532
 -4.8333, 23.6832,  4.5718,  0.1815
 -4.6956, 23.0083,  5.0788, -2.2531
 -4.6269, 22.6716,  5.5603, -1.0836
 -4.5352, 22.2226,  6.0423, -1.4753
 -4.3652, 21.3892,  6.5037, -2.7238
 -4.3999, 21.5594,  6.9710,  0.5589
 -4.4235, 21.6753,  7.4458,  0.3847
 -4.2562, 20.8555,  7.8980, -2.6938
 -4.2903, 21.0225,  8.3447,  0.5377
 -4.3279, 21.2069,  8.8114,  0.6148
 -4.3307, 21.2202,  9.2695,  0.0437
 -4.3667, 21.3970,  9.7346,  0.5823
 -4.2647, 20.8971, 10.1850, -1.6324
 -4.2468, 20.8091, 10.6290, -0.2844
 -4.0025, 19.6124, 11.0581, -3.9674
 -3.8249, 18.7422, 11.4586, -2.8175
 -3.5176, 17.2364, 11.8308, -4.9261
 -3.3191, 16.2635, 12.1830, -3.1927
 -3.0577, 14.9828, 12.5064, -4.1884
 -2.8787, 14.1058, 12.8124, -2.8827
 -2.7234, 13.3444, 13.1002, -2.4877
 -2.4734, 12.1197, 13.3637, -4.0353
 -2.3878, 11.7003, 13.6156, -1.3677
 -2.2195, 10.8754, 13.8516, -2.7122
 -2.2050, 10.8046, 14.0844, -0.2311
 -1.8763,  9.1937, 14.2873, -5.3868
 -1.7156,  8.4066, 14.4655, -2.5283
 -1.5480,  7.5854, 14.6301, -2.6992
 -1.3528,  6.6287, 14.7730, -3.1258
 -1.3207,  6.4715, 14.9134, -0.5168
 -1.1593,  5.6807, 15.0378, -2.6232
 -1.0370,  5.0814, 15.1464, -1.9404
 -0.8622,  4.2247, 15.2375, -2.8011
 -0.8576,  4.2022, 15.3297, -0.0748
 -0.6655,  3.2610, 15.4003, -3.0856
 -0.5493,  2.6916, 15.4585, -1.8662
 -0.3640,  1.7837, 15.4970, -2.9673
 -0.0579,  0.2835, 15.5031, -4.9416
  0.0000,  0.0000, 15.5031, -0.9254
  0.0000,  0.0000, 15.5031,  0.0000
  0.0000,  0.0000, 15.5031,  0.0000
  0.0000,  0.0000, 15.5031,  0.0000
  0.0000,  0.0000, 15.5031,  0.0000
  0.0155, -0.0761, 15.5015, -0.2497
  0.1535, -0.7520, 15.4851, -2.2382
  0.2189, -1.0728, 15.4619, -1.0503
  0.3927, -1.9241, 15.4204, -2.7831
  0.4895, -2.3988, 15.3683, -1.5596
  0.6710, -3.2879, 15.2975, -2.9041
  0.8707, -4.2662, 15.2050, -3.2135
  1.0173, -4.9845, 15.0974, -2.3492
  1.2138, -5.9476, 14.9699, -3.1281
  1.3811, -6.7675, 14.8239, -2.6797
  1.4470, -7.0903, 14.6702, -1.0599
  1.5560, -7.6245, 14.5056, -1.7480
  1.4837, -7.2702, 14.3480,  1.1636
  1.5576, -7.6320, 14.1834, -1.1817
  1.5501, -7.5954, 14.0183,  0.1205
  1.5669, -7.6778, 13.8506, -0.2727
  1.6611, -8.1394, 13.6740, -1.5171
  1.6826, -8.2448, 13.4986, -0.3398
  1.7898, -8.7701, 13.3058, -1.7494
  1.7586, -8.6171, 13.1227,  0.4926
  1.8234, -8.9346, 12.9260, -1.0587
  1.9335, -9.4740, 12.7246, -1.7370
  1.9656, -9.6313, 12.5155, -0.5179
  2.0772,-10.1785, 12.2929, -1.8124
  2.1883,-10.7225, 12.0638, -1.7614
  2.3067,-11.3028, 11.8200, -1.8965
  2.4398,-11.9550, 11.5603, -2.1463
  2.4637,-12.0722, 11.3005, -0.3822
  2.7865,-13.6537, 10.9996, -5.2803
  2.9674,-14.5401, 10.6910, -2.8511
  3.3160,-16.2484, 10.3386, -5.6130
  3.8056,-18.6475,  9.9354, -7.8607
  4.1729,-20.4471,  9.4928, -5.9018
  4.4427,-21.7692,  9.0232, -4.3211
  4.5115,-22.1065,  8.5434, -1.1094
  4.3357,-21.2450,  8.0854,  2.8140
  4.0833,-20.0083,  7.6515,  4.0633
  3.6720,-17.9930,  7.2632,  6.5890
  3.1890,-15.6261,  6.9243,  7.7767
  2.6988,-13.2243,  6.6389,  7.8549
  2.2551,-11.0502,  6.3993,  7.1437
  1.8999, -9.3096,  6.1985,  5.6888
  1.4079, -6.8986,  6.0489,  7.9219
  1.0338, -5.0655,  5.9397,  5.9836
  0.6872, -3.3673,  5.8666,  5.5903
  0.3109, -1.5236,  5.8333,  6.0992
  0.0000,  0.0000,  5.8333,  4.9953
  0.0000,  0.0000,  5.8333,  0.0000
 -0.2042,  1.0007,  5.8550,  3.2840
 -0.5465,  2.6779,  5.9134,  5.5398
 -1.0388,  5.0899,  6.0240,  7.9448
 -1.2430,  6.0907,  6.1534,  3.2221
 -1.5048,  7.3737,  6.3133,  4.2140
 -1.7360,  8.5064,  6.4973,  3.7125
 -2.0010,  9.8051,  6.7094,  4.2566
 -2.2794, 11.1690,  6.9504,  4.4593
 -2.3396, 11.4640,  7.1995,  0.9713
 -2.5570, 12.5294,  7.4734,  3.5277
 -2.7054, 13.2565,  7.7565,  2.3533
 -2.7563, 13.5060,  8.0483,  0.8170
 -3.0511, 14.9502,  8.3770,  4.8100
 -3.2188, 15.7721,  8.7120,  2.6451
 -3.1995, 15.6777,  9.0528, -0.3110
 -3.1737, 15.5511,  9.3927, -0.4191
 -3.2290, 15.8221,  9.7356,  0.8899
 -3.1269, 15.3219, 10.0658, -1.6332
 -2.9347, 14.3800, 10.3735, -3.0536
 -2.7762, 13.6033, 10.6666, -2.5362
 -2.5401, 12.4467, 10.9368, -3.8037
 -2.4916, 12.2090, 11.2002, -0.7773
 -2.4685, 12.0959, 11.4670, -0.3779
 -2.3768, 11.6463, 11.7177, -1.4663
 -2.2663, 11.1048, 11.9549, -1.7525
 -2.2292, 10.9231, 12.1906, -0.5940
 -2.1653, 10.6101, 12.4241, -1.0435
 -1.9565,  9.5869, 12.6280, -3.2974
 -1.7722,  8.6840, 12.8163, -2.9666
 -1.7192,  8.4239, 12.9980, -0.8502
 -1.5472,  7.5812, 13.1651, -2.8144
 -1.4029,  6.8742, 13.3110, -2.2730
 -1.0942,  5.3614, 13.4273, -4.9722
 -0.8872,  4.3475, 13.5210, -3.3118
 -0.7370,  3.6111, 13.6005, -2.4572
 -0.6782,  3.3233, 13.6720, -0.9377
 -0.5511,  2.7003, 13.7305, -2.0463
 -0.4643,  2.2751, 13.7797, -1.3911
 -0.3233,  1.5841, 13.8140, -2.2695
 -0.1366,  0.6694, 13.8285, -2.9945
 -0.0972,  0.4761, 13.8388, -0.6343
  0.0000,  0.0000, 13.8388, -1.5579
  0.0000,  0.0000, 13.8388,  0.0000
  0.0000,  0.0000, 13.8388,  0.0000
  0.0000,  0.0000, 13.8388,  0.0000
  0.0000,  0.0000, 13.8388,  0.0000
  0.0927, -0.4541, 13.8289, -1.4901
  0.0953, -0.4668, 13.8187, -0.0421
  0.2951, -1.4461, 13.7874, -3.2119
  0.4960, -2.4302, 13.7351, -3.2091
  0.6782, -3.3233, 13.6631, -2.9328
  0.7629, -3.7384, 13.5824, -1.3566
  0.9384, -4.5980, 13.4827, -2.8254
  1.0701, -5.2435, 13.3696, -2.1096
  1.1266, -5.5203, 13.2514, -0.8985
  1.2499, -6.1247, 13.1171, -2.0069
  1.2667, -6.2069, 12.9846, -0.2660
  1.2337, -6.0451, 12.8522,  0.5370
  1.2495, -6.1224, 12.7193, -0.2543
  1.3149, -6.4428, 12.5805, -1.0461
  1.4281, -6.9976, 12.4310, -1.7951
  1.5531, -7.6100, 12.2666, -2.0047
  1.7357, -8.5051, 12.0823, -2.9383
  1.8184, -8.9100, 11.8902, -1.3229
  1.8838, -9.2306, 11.6899, -1.0541
  1.9883, -9.7425, 11.4797, -1.6729
  2.0665,-10.1259, 11.2601, -1.2603
  2.1833,-10.6979, 11.0292, -1.8701
  2.2191,-10.8734, 10.7936, -0.5763
  2.3262,-11.3982, 10.5441, -1.7404
  2.5246,-12.3704, 10.2798, -3.1477
  2.7770,-13.6071,  9.9859, -4.0470
  2.9986,-14.6933,  9.6672, -3.5688
  3.2598,-15.9730,  9.3230, -4.1789
  3.5284,-17.2892,  8.9481, -4.3246
  3.8012,-18.6258,  8.5462, -4.3699
  4.0137,-19.6674,  8.1195, -3.4233
  4.0697,-19.9415,  7.6894, -0.8961
  3.9993,-19.5967,  7.2582,  1.1496
  3.8005,-18.6223,  6.8624,  3.1379
  3.3132,-16.2345,  6.5097,  7.8602
  2.8388,-13.9101,  6.2100,  7.5875
  2.4679,-12.0926,  5.9478,  5.9717
  2.0862,-10.2223,  5.7272,  6.1147
  1.7776, -8.7104,  5.5384,  4.9662
  1.4869, -7.2858,  5.3811,  4.6576
  1.1862, -5.8123,  5.2551,  4.8430
  0.9011, -4.4154,  5.1598,  4.5656
  0.4431, -2.1711,  5.1122,  7.4588
  0.1620, -0.7936,  5.0951,  4.5049
  0.0000,  0.0000,  5.0951,  2.6035
 -0.5164,  2.5303,  5.1493,  8.2133
 -1.0462,  5.1263,  5.2615,  8.6116
 -1.6266,  7.9702,  5.4313,  9.1788
 -2.0063,  9.8307,  5.6443,  6.1095
 -2.2199, 10.8773,  5.8793,  3.4259
 -2.2429, 10.9904,  6.1174,  0.3711
 -2.1283, 10.4286,  6.3457, -1.8635
 -2.1756, 10.6606,  6.5735,  0.7507
 -2.0584, 10.0862,  6.7942, -1.9048
 -2.0391,  9.9916,  7.0078, -0.3064
 -2.0216,  9.9060,  7.2246, -0.2837
 -2.0930, 10.2558,  7.4472,  1.1503
 -2.2016, 10.7877,  7.6764,  1.7118
 -2.0794, 10.1891,  7.8973, -1.9663
 -2.1625, 10.5963,  8.1260,  1.3317
 -2.1917, 10.7391,  8.3592,  0.4701
 -2.1079, 10.3289,  8.5852, -1.3601
 -2.0067,  9.8327,  8.7950, -1.6033
 -1.7829,  8.7360,  8.9835, -3.5868
